date,block_id,distance_km,return_seconds,first_seconds,trip_count,class,hydrogen_kg,return_hour
2026-08-07,A501-134,67.52746840003695,72780,58500,5,LD,5.064560130002771,20
2026-08-07,A501-135,41.74106252279087,68640,59340,3,LD,3.130579689209315,19
2026-08-07,A501-136,67.52746840003695,69540,54300,5,LD,5.064560130002771,19
2026-08-07,A501-137,67.52746840003695,70980,55800,5,LD,5.064560130002771,19
2026-08-07,A504-138,39.98475078582055,35100,28800,3,LD,2.998856308936541,9
2026-08-07,A504-139,120.07557217276867,41820,22560,9,MD,10.80680149554918,11
2026-08-07,A504-140,66.68169124813659,33660,23460,5,LD,5.001126843610244,9
2026-08-07,A504-141,66.68169124813659,34380,24300,5,LD,5.001126843610244,9
2026-08-07,A504-142,53.393880924632086,31860,23100,4,LD,4.004541069347407,8
2026-08-07,A504-143,39.2203947831002,36180,26760,4,LD,2.9415296087325147,10
2026-08-07,A504-144,76.44134580899787,44220,30900,5,LD,5.73310093567484,12
2026-08-07,A504-145,42.65159710786083,64200,55380,3,LD,3.1988697830895623,17
2026-08-07,A504-146,26.696940462316043,46620,42300,2,LD,2.0022705346737033,12
2026-08-07,A504-147,26.696940462316043,53520,49500,2,LD,2.0022705346737033,14
2026-08-07,A504-148,26.696940462316043,49020,44700,2,LD,2.0022705346737033,13
2026-08-07,A504-149,26.696940462316043,51420,47100,2,LD,2.0022705346737033,14
2026-08-07,A504-150,66.80301106344362,70260,57360,5,LD,5.010225829758271,19
2026-08-07,A504-151,40.10607060112757,66000,58260,3,LD,3.007955295084568,18
2026-08-07,A504-152,93.49995152575966,71460,54000,7,LD,7.012496364431974,19
2026-08-07,A504-153,40.10607060112757,67620,60060,3,LD,3.007955295084568,18
2026-08-07,A504-154,40.10607060112757,68280,60960,3,LD,3.007955295084568,18
2026-08-07,A504-155,93.49995152575966,72900,56460,7,LD,7.012496364431974,20
2026-08-07,A505-156,94.62655507915524,34440,21000,5,LD,7.0969916309366425,9
2026-08-07,A505-157,115.27116786028526,36720,22380,5,LD,8.645337589521395,10
2026-08-07,A505-158,46.11185148795974,32580,26400,2,LD,3.4583888615969802,9
2026-08-07,A505-159,69.15931637232552,35220,25020,3,LD,5.186948727924414,9
2026-08-07,A505-160,90.99060075995968,69720,56100,4,LD,6.824295056996975,19
2026-08-07,A505-161,68.93257008086182,67680,57600,3,LD,5.1699427560646365,18
2026-08-07,A505-162,68.93257008086182,68940,59040,3,LD,5.1699427560646365,19
2026-08-07,A505-163,68.93257008086182,70200,60480,3,LD,5.1699427560646365,19
2026-08-07,A505-164,114.42787046084166,72000,54600,5,LD,8.582090284563124,20
2026-08-07,A55-15,25.513685537320956,48720,38100,8,LD,1.9135264152990716,13
2026-08-07,A55-16,12.756842768660478,54120,48900,4,LD,0.9567632076495358,15
2026-08-07,A553-165,75.76855515463379,38520,23400,6,LD,5.682641636597534,10
2026-08-07,A553-166,107.75522200422908,49200,23100,10,LD,8.08164165031718,13
2026-08-07,A553-167,25.256185051544595,52260,47100,2,LD,1.8942138788658445,14
2026-08-07,A553-168,38.755479301148334,41400,31260,4,LD,2.906660947586125,11
2026-08-07,A553-169,25.256185051544595,46860,41700,2,LD,1.8942138788658445,13
2026-08-07,A553-170,37.57185079975627,46620,39000,3,LD,2.8178888099817203,12
2026-08-07,A553-171,75.76855515463379,68520,52500,6,LD,5.682641636597534,19
2026-08-07,A553-172,75.76855515463379,71220,55200,6,LD,5.682641636597534,19
2026-08-07,A554-173,90.8758363890151,37440,21600,6,LD,6.815687729176132,10
2026-08-07,A554-174,90.8758363890151,72540,56400,6,LD,6.815687729176132,20
2026-08-07,A556-175,108.98704600580623,48660,22200,12,LD,8.174028450435467,13
2026-08-07,A556-176,64.68471340799925,68820,54300,7,LD,4.851353505599944,19
2026-08-07,A558-177,79.8038501542794,37080,23100,6,LD,5.985288761570955,10
2026-08-07,A558-178,92.88110183184541,70980,54720,7,LD,6.966082637388406,19
2026-08-07,A57-17,110.66295813303836,54720,20340,11,LD,8.299721859977877,15
2026-08-07,A57-18,71.92969508291824,32880,16200,7,LD,5.394727131218868,9
2026-08-07,A57-19,116.14636140468487,48060,18840,13,LD,8.710977105351365,13
2026-08-07,A57-20,118.10517191157365,47460,19680,12,LD,8.857887893368023,13
2026-08-07,A57-21,42.22367836377475,34680,23160,5,LD,3.1667758772831065,9
2026-08-07,A57-22,126.60294755875752,49860,21300,11,MD,11.394265280288176,13
2026-08-07,A57-23,80.4910960707978,45120,23340,9,LD,6.036832205309834,12
2026-08-07,A57-24,89.13816333471769,45720,21900,10,LD,6.685362250103826,12
2026-08-07,A57-25,27.008198069967175,31920,24660,3,LD,2.025614855247538,8
2026-08-07,A57-26,62.66346340385425,32400,18000,7,LD,4.699759755289069,9
2026-08-07,A57-27,77.86933412690213,44880,22680,10,LD,5.8402000595176595,12
2026-08-07,A57-28,15.748978432911311,34320,27600,2,LD,1.1811733824683484,9
2026-08-07,A57-29,30.964458726718888,36960,26700,4,LD,2.3223344045039167,10
2026-08-07,A57-30,17.827632666943536,45960,41160,2,LD,1.3370724500207651,12
2026-08-07,A57-31,17.827632666943536,49800,45120,2,LD,1.3370724500207651,13
2026-08-07,A57-32,71.31053066777415,68460,46140,8,LD,5.3482898000830605,19
2026-08-07,A57-33,89.13816333471769,76440,49320,10,LD,6.685362250103826,21
2026-08-07,A57-34,89.13816333471769,77220,49920,10,LD,6.685362250103826,21
2026-08-07,A57-35,71.31053066777415,72420,50520,8,LD,5.3482898000830605,20
2026-08-07,A57-36,71.31053066777415,70080,48420,8,LD,5.3482898000830605,19
2026-08-07,A57-37,64.04655073061971,75780,59700,6,LD,4.803491304796478,21
2026-08-07,A57-38,89.74905443973206,72660,46320,10,LD,6.731179082979905,20
2026-08-07,A57-39,71.31053066777415,76380,54960,8,LD,5.3482898000830605,21
2026-08-07,A57-40,53.482898000830616,77160,61140,6,LD,4.011217350062296,21
2026-08-07,A57-41,91.63047198071021,73320,46920,9,LD,6.872285398553266,20
2026-08-07,A57-42,79.95759793169405,74940,50220,9,LD,5.996819844877054,20
2026-08-07,A57-43,89.13816333471769,73260,45600,10,LD,6.685362250103826,20
2026-08-07,A59-44,86.87587743615468,38760,21900,6,LD,6.515690807711601,10
2026-08-07,A59-45,86.87587743615468,41460,23700,6,LD,6.515690807711601,11
2026-08-07,A59-46,72.38168773629721,36660,22800,5,LD,5.42862658022229,10
2026-08-07,A59-47,28.967008576855953,53520,48300,2,LD,2.1725256432641964,14
2026-08-07,A59-48,43.4863465711266,47580,39300,3,LD,3.261475992834495,13
2026-08-07,A59-49,57.927479205636104,69660,57000,4,LD,4.344560940422707,19
2026-08-07,A59-50,72.3751497882214,71520,54600,5,LD,5.4281362341166055,19
2026-08-07,A59-51,57.934017153711906,67860,54000,4,LD,4.345051286528393,18
2026-08-07,A60-52,58.44451903403447,36420,21900,6,LD,4.383338927552585,10
2026-08-07,A60-53,58.44451903403447,32580,19200,6,LD,4.383338927552585,9
2026-08-07,A60-54,81.58160527215354,37920,17700,10,LD,6.118620395411515,10
2026-08-07,A60-55,104.24918214730427,49200,18900,12,LD,7.81868866104782,13
2026-08-07,A60-56,95.75365804565618,77880,51300,10,LD,7.181524353424213,21
2026-08-07,A60-57,77.92602537871264,68760,48000,8,LD,5.8444519034034474,19
2026-08-07,A60-58,97.4075317233908,74580,49800,10,LD,7.30556487925431,20
2026-08-07,A65-59,20.06770727949141,31860,25680,3,LD,1.5050780459618558,8
2026-08-07,A65-60,20.06770727949141,33840,27180,3,LD,1.5050780459618558,9
2026-08-07,A65-61,84.80021534661819,46500,22200,11,LD,6.360016150996364,12
2026-08-07,A65-62,26.99858849920748,38220,28500,4,LD,2.024894137440561,10
2026-08-07,A65-63,20.06770727949141,31440,24480,3,LD,1.5050780459618558,8
2026-08-07,A65-64,33.92946971892354,63480,51600,5,LD,2.5447102289192656,17
2026-08-07,A65-65,33.56700152909515,48960,38400,5,LD,2.5175251146821362,13
2026-08-07,A65-66,13.49929424960374,54360,50100,2,LD,1.0124470687202805,15
2026-08-07,A65-67,87.9266467173385,75780,48600,13,LD,6.594498503800387,21
2026-08-07,A65-68,33.92946971892354,69060,57840,5,LD,2.5447102289192656,19
2026-08-07,A65-69,103.95077215523332,76320,47400,11,LD,7.796307911642499,21
2026-08-07,A65-70,33.92946971892354,66180,54000,5,LD,2.5447102289192656,18
2026-08-07,A65-71,65.96160118856379,76680,59940,8,LD,4.947120089142284,21
2026-08-07,A65-72,98.55174362966657,78000,48300,11,LD,7.391380772224993,21
2026-08-07,A66-100,58.98837098527896,73440,48840,6,LD,4.424127823895922,20
2026-08-07,A66-101,68.75367417896119,77160,49380,7,LD,5.156525563422089,21
2026-08-07,A66-102,29.560277463170415,66960,54300,3,LD,2.217020809737781,18
2026-08-07,A66-103,58.98837098527896,75600,50160,6,LD,4.424127823895922,21
2026-08-07,A66-104,39.32558065685264,68160,50880,4,LD,2.9494185492639478,18
2026-08-07,A66-105,49.090883850534865,72120,51600,5,LD,3.681816288790115,20
2026-08-07,A66-106,39.32558065685264,69240,52320,4,LD,2.9494185492639478,19
2026-08-07,A66-107,58.98837098527896,76320,53040,6,LD,4.424127823895922,21
2026-08-07,A66-108,78.65116131370527,77040,45600,8,LD,5.8988370985278955,21
2026-08-07,A66-109,39.32558065685264,70860,54480,4,LD,2.9494185492639478,19
2026-08-07,A66-73,68.88585812002306,44460,19260,7,LD,5.166439359001729,12
2026-08-07,A66-74,78.65116131370527,45120,17100,8,LD,5.8988370985278955,12
2026-08-07,A66-75,39.32558065685264,37500,23040,4,LD,2.9494185492639478,10
2026-08-07,A66-76,78.65116131370527,46320,17700,8,LD,5.8988370985278955,12
2026-08-07,A66-77,78.65116131370527,46920,18300,8,LD,5.8988370985278955,13
2026-08-07,A66-78,58.98837098527896,47520,24600,6,LD,4.424127823895922,13
2026-08-07,A66-79,58.98837098527896,40020,18900,6,LD,4.424127823895922,11
2026-08-07,A66-80,39.32558065685264,40620,25560,4,LD,2.9494185492639478,11
2026-08-07,A66-81,58.98837098527896,41280,19500,6,LD,4.424127823895922,11
2026-08-07,A66-82,49.22306779159673,41880,23220,5,LD,3.691730084369755,11
2026-08-07,A66-83,68.88585812002306,42480,17760,7,LD,5.166439359001729,11
2026-08-07,A66-84,68.88585812002306,43140,18480,7,LD,5.166439359001729,11
2026-08-07,A66-85,39.32558065685264,35940,21300,4,LD,2.9494185492639478,9
2026-08-07,A66-86,19.66279032842632,53940,46260,2,LD,1.4747092746319739,14
2026-08-07,A66-87,39.32558065685264,51780,36600,4,LD,2.9494185492639478,14
2026-08-07,A66-88,19.66279032842632,49860,42600,2,LD,1.4747092746319739,13
2026-08-07,A66-89,19.66279032842632,51120,43800,2,LD,1.4747092746319739,14
2026-08-07,A66-90,19.66279032842632,48120,40800,2,LD,1.4747092746319739,13
2026-08-07,A66-91,19.66279032842632,45720,38400,2,LD,1.4747092746319739,12
2026-08-07,A66-92,29.428093522108547,78000,67560,3,LD,2.207107014158141,21
2026-08-07,A66-93,19.66279032842632,48720,41400,2,LD,1.4747092746319739,13
2026-08-07,A66-94,19.66279032842632,49320,42000,2,LD,1.4747092746319739,13
2026-08-07,A66-95,19.66279032842632,50460,43200,2,LD,1.4747092746319739,14
2026-08-07,A66-96,19.66279032842632,52500,45000,2,LD,1.4747092746319739,14
2026-08-07,A66-97,78.65116131370527,77880,46920,8,LD,5.8988370985278955,21
2026-08-07,A66-98,68.75367417896119,75420,47580,7,LD,5.156525563422089,20
2026-08-07,A66-99,68.75367417896119,76260,48240,7,LD,5.156525563422089,21
2026-08-07,A85-110,47.99949472918411,38100,22500,4,LD,3.599962104688808,10
2026-08-07,A85-111,23.999747364592054,34740,26700,2,LD,1.799981052344404,9
2026-08-07,A85-112,12.307910100626021,31500,27600,1,LD,0.9230932575469515,8
2026-08-07,A85-113,71.99924209377616,44400,19500,6,LD,5.399943157033212,12
2026-08-07,A85-114,36.30765746521808,33240,21300,3,LD,2.7230743098913557,9
2026-08-07,A85-115,23.999747364592054,37500,30300,2,LD,1.799981052344404,10
2026-08-07,A85-116,71.99924209377616,47100,22800,6,LD,5.399943157033212,13
2026-08-07,A85-117,47.99949472918411,36660,21000,4,LD,3.599962104688808,10
2026-08-07,A85-118,47.99949472918411,65940,49500,4,LD,3.599962104688808,18
2026-08-07,A85-119,35.69158462855809,67740,55440,3,LD,2.6768688471418565,18
2026-08-07,A85-120,84.30715219440219,72840,45300,7,LD,6.323036414580164,20
2026-08-07,A85-121,23.999747364592054,66420,58200,2,LD,1.799981052344404,18
2026-08-07,A85-122,47.99949472918411,71460,54900,4,LD,3.599962104688808,19
2026-08-07,A85-123,71.99924209377616,73560,48000,6,LD,5.399943157033212,20
2026-08-07,A85-124,36.30765746521808,70740,58980,3,LD,2.7230743098913557,19
2026-08-07,B14-1,76.35218743241819,39540,20400,8,LD,5.726414057431364,10
2026-08-07,B14-2,55.13180051784797,36360,22200,4,LD,4.134885038838598,10
2026-08-07,B14-3,55.13180051784797,35160,20700,4,LD,4.134885038838598,9
2026-08-07,B14-4,55.13180051784797,51600,35880,4,LD,4.134885038838598,14
2026-08-07,B14-5,68.82329127733985,71640,52920,5,LD,5.161746845800488,19
2026-08-07,B14-6,55.13180051784797,71700,55620,4,LD,4.134885038838598,19
2026-08-07,B14-7,55.13180051784797,49980,36000,4,LD,4.134885038838598,13
2026-08-07,B14-8,40.83689848797133,49620,38640,5,LD,3.0627673865978498,13
2026-08-07,B14-9,55.13180051784797,65820,50220,4,LD,4.134885038838598,18
2026-08-07,B192-186,68.93646023832933,29820,15900,8,LD,5.170234517874699,8
2026-08-07,B21-10,72.81636289305256,33300,16500,12,LD,5.4612272169789415,9
2026-08-07,B21-11,63.31943687995718,34320,18060,11,LD,4.7489577659967885,9
2026-08-07,B21-12,39.27608755926032,33720,23160,7,LD,2.9457065669445237,9
2026-08-07,B21-13,126.79458970348637,50220,18300,21,MD,11.411513073313772,13
2026-08-07,B21-14,169.7010074626903,66900,22800,23,MD,15.273090671642128,18
2026-08-07,B21-15,60.108373301742176,33480,17100,10,LD,4.508127997630663,9
2026-08-07,B21-16,24.04334932069687,40500,33780,4,LD,1.803251199052265,11
2026-08-07,B21-17,40.20225191956972,90360,81720,7,LD,3.015168893967729,1
2026-08-07,B21-18,54.44495583885501,71580,57060,8,LD,4.083371687914125,19
2026-08-07,B21-19,76.46936915252192,74940,55200,12,LD,5.735202686439144,20
2026-08-07,B21-20,45.26373623526709,50160,38340,8,LD,3.3947802176450317,13
2026-08-07,B21-21,45.26373623526709,79500,68160,8,LD,3.3947802176450317,22
2026-08-07,B21-22,22.631868117633545,80700,75240,4,LD,1.6973901088225158,22
2026-08-07,B21-23,45.24683707260388,89460,80640,7,LD,3.393512780445291,0
2026-08-07,B24-24,66.73661702027101,32460,18300,7,LD,5.005246276520325,9
2026-08-07,B24-25,88.94996347797158,82560,63660,10,LD,6.671247260847868,22
2026-08-07,B24-26,208.5784574327218,72900,21000,22,MD,18.772061168944962,20
2026-08-07,B24-27,77.38780561934666,69300,49500,8,LD,5.804085421451,19
2026-08-07,B24-28,234.00283757285558,77880,20100,24,MD,21.060255381557003,21
2026-08-07,B24-29,75.33838997851092,92040,75600,9,LD,5.650379248388319,1
2026-08-07,B26-30,245.7773199888918,80760,17700,72,HD,25.806618598833637,22
2026-08-07,B26-31,34.135738887346086,91500,81780,10,LD,2.5601804165509563,1
2026-08-07,B29-32,89.04028641187584,49800,22800,11,LD,6.6780214808906875,13
2026-08-07,B29-33,64.31410709389377,41580,22980,8,LD,4.823558032042032,11
2026-08-07,B29-34,51.09927776116356,67620,50580,6,LD,3.832445832087267,18
2026-08-07,B29-35,93.58499421369388,79740,50340,12,LD,7.018874566027041,22
2026-08-07,B29-36,51.33720490866497,91020,80160,7,LD,3.8502903681498726,1
2026-08-07,B30-37,63.762394413052846,37020,19200,10,LD,4.782179580978963,10
2026-08-07,B30-38,54.58821947463486,34680,19500,9,LD,4.094116460597615,9
2026-08-07,B30-39,43.806358872128136,30120,19800,7,LD,3.28547691540961,8
2026-08-07,B30-40,49.6762639311698,76920,65100,8,LD,3.725719794837735,21
2026-08-07,B30-41,67.0454080971095,89400,76020,11,LD,5.028405607283212,0
2026-08-07,B30-42,45.452395682681946,61800,46800,7,LD,3.408929676201146,17
2026-08-07,B31-43,83.43876352175606,37140,16200,16,LD,6.257907264131704,10
