timestamp_utc,wind_onshore_mw,solar_mw,system_load_mw,price_day_ahead_eur_per_mwh,price_actual_eur_per_mwh
2017-03-01 00:00:00+00:00,3899.0,37.0,24766.0,52.74,48.34
2017-03-01 01:00:00+00:00,3877.0,36.0,23281.0,49.25,46.85
2017-03-01 02:00:00+00:00,3807.0,37.0,22719.0,45.0,46.86
2017-03-01 03:00:00+00:00,3622.0,35.0,22559.0,45.18,47.15
2017-03-01 04:00:00+00:00,3623.0,36.0,23189.0,49.25,47.42
2017-03-01 05:00:00+00:00,3747.0,37.0,25512.0,57.65,56.89
2017-03-01 06:00:00+00:00,3666.0,63.0,29200.0,70.51,58.45
2017-03-01 07:00:00+00:00,3388.0,70.0,32300.0,71.61,60.21
2017-03-01 08:00:00+00:00,3288.0,338.0,34788.0,72.69,60.51
2017-03-01 09:00:00+00:00,3168.0,888.0,36112.0,73.33,60.85
2017-03-01 10:00:00+00:00,2642.0,1363.0,36202.0,73.31,59.76
2017-03-01 11:00:00+00:00,2333.0,1646.0,35633.0,72.71,57.06
2017-03-01 12:00:00+00:00,2703.0,1735.0,35525.0,71.69,57.1
2017-03-01 13:00:00+00:00,3199.0,1721.0,34348.0,70.51,56.73
2017-03-01 14:00:00+00:00,3438.0,1421.0,33413.0,69.94,54.21
2017-03-01 15:00:00+00:00,3437.0,855.0,33141.0,71.11,51.33
2017-03-01 16:00:00+00:00,3595.0,202.0,33694.0,72.76,54.04
2017-03-01 17:00:00+00:00,4147.0,80.0,35528.0,73.69,60.79
2017-03-01 18:00:00+00:00,4304.0,79.0,35991.0,74.29,64.32
2017-03-01 19:00:00+00:00,4226.0,79.0,36159.0,74.9,64.25
2017-03-01 20:00:00+00:00,4318.0,45.0,35633.0,71.59,63.66
2017-03-01 21:00:00+00:00,4359.0,40.0,33492.0,68.73,59.86
2017-03-01 22:00:00+00:00,4248.0,41.0,30433.0,67.42,58.0
2017-03-01 23:00:00+00:00,11298.0,35.0,27736.0,39.87,58.41
2017-03-02 00:00:00+00:00,10941.0,36.0,25618.0,34.92,55.8
2017-03-02 01:00:00+00:00,10521.0,35.0,24320.0,34.26,51.32
