timestamp_utc,wind_onshore_mw,solar_mw,system_load_mw,price_day_ahead_eur_per_mwh,price_actual_eur_per_mwh
2017-11-01 00:00:00+00:00,10959.0,81.0,26220.0,55.4,55.77
2017-11-01 01:00:00+00:00,10598.0,81.0,24893.0,51.5,51.68
2017-11-01 02:00:00+00:00,10228.0,81.0,24403.0,51.2,49.46
2017-11-01 03:00:00+00:00,9613.0,81.0,24217.0,50.62,48.99
2017-11-01 04:00:00+00:00,9407.0,81.0,24932.0,52.83,49.14
2017-11-01 05:00:00+00:00,9360.0,81.0,27641.0,57.93,48.44
2017-11-01 06:00:00+00:00,8951.0,89.0,32549.0,71.36,48.7
2017-11-01 07:00:00+00:00,8223.0,102.0,35782.0,78.21,49.31
2017-11-01 08:00:00+00:00,7554.0,569.0,36484.0,79.44,54.08
2017-11-01 09:00:00+00:00,6912.0,1435.0,36841.0,80.4,54.25
2017-11-01 10:00:00+00:00,6578.0,2064.0,36500.0,80.4,53.62
2017-11-01 11:00:00+00:00,6362.0,2508.0,35812.0,79.98,55.5
2017-11-01 12:00:00+00:00,6055.0,2830.0,35541.0,79.56,53.94
2017-11-01 13:00:00+00:00,5632.0,2793.0,34391.0,79.82,51.46
2017-11-01 14:00:00+00:00,5335.0,2707.0,33840.0,78.87,49.74
2017-11-01 15:00:00+00:00,4989.0,2200.0,33688.0,79.56,49.67
2017-11-01 16:00:00+00:00,4393.0,1190.0,34277.0,83.65,58.42
2017-11-01 17:00:00+00:00,4280.0,291.0,36267.0,88.0,69.77
2017-11-01 18:00:00+00:00,4409.0,124.0,37643.0,88.44,73.1
2017-11-01 19:00:00+00:00,4301.0,121.0,37956.0,85.0,72.96
2017-11-01 20:00:00+00:00,4126.0,93.0,37243.0,80.64,71.75
2017-11-01 21:00:00+00:00,4356.0,92.0,34502.0,79.82,67.8
2017-11-01 22:00:00+00:00,4448.0,91.0,31075.0,77.51,56.18
2017-11-01 23:00:00+00:00,5871.0,30.0,28382.0,62.61,51.35
2017-11-02 00:00:00+00:00,6163.0,27.0,26366.0,53.71,49.32
2017-11-02 01:00:00+00:00,6312.0,27.0,24766.0,51.86,48.42
2017-11-02 02:00:00+00:00,6564.0,27.0,24004.0,49.83,47.55
2017-11-02 03:00:00+00:00,6526.0,28.0,23667.0,48.43,46.94
2017-11-02 04:00:00+00:00,6185.0,27.0,23671.0,44.86,49.46
2017-11-02 05:00:00+00:00,6162.0,27.0,24052.0,49.35,56.53
2017-11-02 06:00:00+00:00,6370.0,31.0,25513.0,48.73,65.92
2017-11-02 07:00:00+00:00,6426.0,46.0,27012.0,49.83,68.86
2017-11-02 08:00:00+00:00,6826.0,273.0,29857.0,60.71,68.35
2017-11-02 09:00:00+00:00,6836.0,679.0,32270.0,64.21,67.39
2017-11-02 10:00:00+00:00,6715.0,1101.0,32688.0,61.82,66.31
2017-11-02 11:00:00+00:00,7203.0,1234.0,32404.0,59.94,65.39
2017-11-02 12:00:00+00:00,7379.0,1175.0,32303.0,53.89,65.06
2017-11-02 13:00:00+00:00,7474.0,1034.0,31667.0,51.36,66.3
2017-11-02 14:00:00+00:00,7680.0,870.0,30216.0,49.99,66.59
2017-11-02 15:00:00+00:00,8083.0,709.0,29435.0,49.83,66.94
2017-11-02 16:00:00+00:00,8436.0,291.0,29258.0,49.83,72.32
2017-11-02 17:00:00+00:00,8922.0,59.0,30235.0,53.71,79.92
2017-11-02 18:00:00+00:00,9205.0,39.0,32097.0,64.36,79.24
2017-11-02 19:00:00+00:00,9500.0,39.0,32615.0,62.36,77.07
2017-11-02 20:00:00+00:00,10066.0,28.0,32144.0,53.71,69.33
2017-11-02 21:00:00+00:00,10677.0,29.0,30733.0,52.5,62.12
2017-11-02 22:00:00+00:00,10714.0,30.0,28624.0,49.83,60.52
2017-11-02 23:00:00+00:00,2752.0,423.0,25518.0,50.4,58.68
2017-11-03 00:00:00+00:00,3214.0,295.0,24093.0,49.39,55.36
2017-11-03 01:00:00+00:00,3423.0,109.0,22857.0,49.03,52.69
2017-11-03 02:00:00+00:00,3425.0,64.0,22146.0,48.34,51.89
2017-11-03 03:00:00+00:00,3268.0,50.0,21862.0,47.1,51.63
2017-11-03 04:00:00+00:00,3217.0,47.0,21788.0,46.8,53.21
2017-11-03 05:00:00+00:00,3614.0,45.0,22072.0,47.08,61.88
2017-11-03 06:00:00+00:00,3682.0,83.0,22705.0,46.8,68.82
2017-11-03 07:00:00+00:00,3706.0,834.0,24285.0,46.8,72.73
2017-11-03 08:00:00+00:00,3313.0,2233.0,26644.0,47.49,72.65
2017-11-03 09:00:00+00:00,3087.0,3868.0,27886.0,47.49,69.96
2017-11-03 10:00:00+00:00,3282.0,4490.0,27958.0,47.47,68.2
2017-11-03 11:00:00+00:00,3960.0,4379.0,27793.0,45.0,67.32
2017-11-03 12:00:00+00:00,4471.0,4248.0,27771.0,44.47,65.47
2017-11-03 13:00:00+00:00,5065.0,4167.0,27005.0,44.4,64.37
2017-11-03 14:00:00+00:00,5396.0,3733.0,25720.0,39.34,62.86
2017-11-03 15:00:00+00:00,5621.0,2966.0,25023.0,38.59,67.24
2017-11-03 16:00:00+00:00,5939.0,2027.0,24669.0,38.59,73.45
2017-11-03 17:00:00+00:00,6100.0,1010.0,24893.0,44.0,75.27
2017-11-03 18:00:00+00:00,6316.0,328.0,27071.0,47.47,77.17
2017-11-03 19:00:00+00:00,6815.0,229.0,28637.0,48.34,72.93
2017-11-03 20:00:00+00:00,7082.0,183.0,28514.0,47.51,68.05
2017-11-03 21:00:00+00:00,7344.0,158.0,27062.0,47.1,66.73
2017-11-03 22:00:00+00:00,7384.0,135.0,25095.0,45.0,62.8
2017-11-03 23:00:00+00:00,4406.0,604.0,24978.0,47.54,65.0
2017-11-04 00:00:00+00:00,4145.0,589.0,23613.0,43.95,60.08
2017-11-04 01:00:00+00:00,3842.0,450.0,22631.0,40.0,55.7
2017-11-04 02:00:00+00:00,3568.0,384.0,22295.0,39.71,55.22
2017-11-04 03:00:00+00:00,3465.0,359.0,22119.0,39.71,54.98
2017-11-04 04:00:00+00:00,3479.0,225.0,22534.0,40.0,54.85
2017-11-04 05:00:00+00:00,3454.0,132.0,24594.0,45.62,55.19
2017-11-04 06:00:00+00:00,3424.0,93.0,27070.0,50.84,60.1
2017-11-04 07:00:00+00:00,3346.0,509.0,28709.0,52.07,64.24
2017-11-04 08:00:00+00:00,2941.0,2051.0,30337.0,52.69,67.12
2017-11-04 09:00:00+00:00,2520.0,4251.0,30824.0,51.52,68.13
2017-11-04 10:00:00+00:00,2364.0,5091.0,31016.0,51.0,67.9
2017-11-04 11:00:00+00:00,2388.0,5447.0,31173.0,51.0,67.37
2017-11-04 12:00:00+00:00,2619.0,5601.0,31072.0,50.68,66.92
2017-11-04 13:00:00+00:00,2935.0,5593.0,30021.0,49.45,65.66
2017-11-04 14:00:00+00:00,3212.0,5449.0,29338.0,48.69,55.0
2017-11-04 15:00:00+00:00,3736.0,5241.0,29129.0,48.32,51.08
2017-11-04 16:00:00+00:00,4035.0,4816.0,28877.0,47.9,53.09
2017-11-04 17:00:00+00:00,4509.0,4106.0,28347.0,47.07,67.68
2017-11-04 18:00:00+00:00,4658.0,2890.0,28222.0,48.37,63.41
2017-11-04 19:00:00+00:00,4666.0,1261.0,29196.0,51.0,59.4
2017-11-04 20:00:00+00:00,5100.0,710.0,31052.0,52.85,55.23
2017-11-04 21:00:00+00:00,5271.0,630.0,28832.0,51.0,52.13
2017-11-04 22:00:00+00:00,5175.0,626.0,26663.0,48.69,49.58
2017-11-04 23:00:00+00:00,8760.0,35.0,25658.0,40.69,51.26
2017-11-05 00:00:00+00:00,8631.0,35.0,24393.0,37.47,47.35
2017-11-05 01:00:00+00:00,8354.0,34.0,23521.0,36.05,39.7
2017-11-05 02:00:00+00:00,8613.0,34.0,23142.0,35.66,35.67
2017-11-05 03:00:00+00:00,9254.0,34.0,22962.0,33.92,33.39
2017-11-05 04:00:00+00:00,9512.0,33.0,23329.0,35.85,33.93
2017-11-05 05:00:00+00:00,9984.0,34.0,25191.0,37.45,34.03
2017-11-05 06:00:00+00:00,9951.0,70.0,27568.0,43.1,37.69
2017-11-05 07:00:00+00:00,10067.0,380.0,29776.0,44.49,40.63
2017-11-05 08:00:00+00:00,11130.0,1062.0,30897.0,47.0,46.42
2017-11-05 09:00:00+00:00,12510.0,1776.0,31481.0,44.68,46.32
2017-11-05 10:00:00+00:00,12870.0,2257.0,31675.0,43.07,47.51
2017-11-05 11:00:00+00:00,13419.0,2625.0,31879.0,39.43,50.18
2017-11-05 12:00:00+00:00,13920.0,2892.0,31751.0,37.69,49.11
2017-11-05 13:00:00+00:00,14076.0,2863.0,30653.0,36.59,45.59
2017-11-05 14:00:00+00:00,13728.0,2749.0,30020.0,36.2,44.4
